#      q          gamma(q)       

0.0000000000     0.0013654741 
0.0066666667     0.0126045667 
0.0133333333     0.0222217484 
0.0200000000     0.0314137734 
0.0266666667     0.0404032848 
0.0333333333     0.0493085999 
0.0400000000     0.0581800148 
0.0466666667     0.0670339071 
0.0533333333     0.0758733210 
0.0600000000     0.0846961729 
0.0666666667     0.0934992987 
0.0733333333     0.1022800606 
0.0800000000     0.1110366933 
0.0866666667     0.1197682304 
0.0933333333     0.1284742541 
0.1000000000     0.1371547043 
0.1066666667     0.1458097113 
0.1133333333     0.1544395020 
0.1200000000     0.1630443631 
0.1266666667     0.1716246302 
0.1333333333     0.1801806926 
0.1400000000     0.1887130057 
0.1466666667     0.1972221057 
0.1533333333     0.2057086177 
0.1600000000     0.2141732633 
0.1666666667     0.2226168586 
0.1733333333     0.2310403116 
0.1800000000     0.2394446185 
0.1866666667     0.2478308553 
0.1933333333     0.2562001705 
0.2000000000     0.2645537781 
0.2066666667     0.2728929523 
0.2133333333     0.2812190196 
0.2200000000     0.2895333550 
0.2266666667     0.2978373787 
0.2333333333     0.3061325517 
0.2400000000     0.3144203753 
0.2466666667     0.3227023883 
0.2533333333     0.3309801668 
0.2600000000     0.3392553233 
0.2666666667     0.3475295079 
0.2733333333     0.3558044057 
0.2800000000     0.3640817409 
0.2866666667     0.3723632744 
0.2933333333     0.3806508064 
0.3000000000     0.3889461764 
0.3066666667     0.3972512651 
0.3133333333     0.4055679951 
0.3200000000     0.4138983324 
0.3266666667     0.4222442881 
0.3333333333     0.4306079197 
0.3400000000     0.4389913332 
0.3466666667     0.4473966853 
0.3533333333     0.4558261847 
0.3600000000     0.4642820952 
0.3666666667     0.4727667381 
0.3733333333     0.4812824941 
0.3800000000     0.4898318072 
0.3866666667     0.4984171871 
0.3933333333     0.5070412129 
0.4000000000     0.5157065360 
0.4066666667     0.5244158849 
0.4133333333     0.5331720684 
0.4200000000     0.5419779802 
0.4266666667     0.5508366039 
0.4333333333     0.5597510175 
0.4400000000     0.5687243990 
0.4466666667     0.5777600320 
0.4533333333     0.5868613118 
0.4600000000     0.5960317521 
0.4666666667     0.6052749920 
0.4733333333     0.6145948029 
0.4800000000     0.6239950977 
0.4866666667     0.6334799382 
0.4933333333     0.6430535453 
0.5000000000     0.6527203085 
0.5066666667     0.6624847966 
0.5133333333     0.6723517694 
0.5200000000     0.6823261898 
0.5266666667     0.6924132379 
0.5333333333     0.7026183242 
0.5400000000     0.7129471063 
0.5466666667     0.7234055051 
0.5533333333     0.7339997234 
0.5600000000     0.7447362648 
0.5666666667     0.7556219565 
0.5733333333     0.7666639709 
0.5800000000     0.7778698523 
0.5866666667     0.7892475432 
0.5933333333     0.8008054149 
0.6000000000     0.8125522998 
0.6066666667     0.8244975271 
0.6133333333     0.8366509619 
0.6200000000     0.8490230477 
0.6266666667     0.8616248535 
0.6333333333     0.8744681249 
0.6400000000     0.8875653412 
0.6466666667     0.9009297776 
0.6533333333     0.9145755747 
0.6600000000     0.9285178144 
0.6666666667     0.9427726058 
0.6733333333     0.9573571789 
0.6800000000     0.9722899908 
0.6866666667     0.9875908435 
0.6933333333     1.0032810163 
0.7000000000     1.0193834146 
0.7066666667     1.0359227381 
0.7133333333     1.0529256702 
0.7200000000     1.0704210935 
0.7266666667     1.0884403333 
0.7333333333     1.1070174368 
0.7400000000     1.1261894899 
0.7466666667     1.1459969819 
0.7533333333     1.1664842227 
0.7600000000     1.1876998239 
0.7666666667     1.2096972563 
0.7733333333     1.2325354968 
0.7800000000     1.2562797842 
0.7866666667     1.2810025094 
0.7933333333     1.3067842679 
0.8000000000     1.3337151162 
0.8066666667     1.3618960816 
0.8133333333     1.3914409855 
0.8200000000     1.4224786638 
0.8266666667     1.4551556671 
0.8333333333     1.4896395583 
0.8400000000     1.5261229219 
0.8466666667     1.5648282167 
0.8533333333     1.6060136189 
0.8600000000     1.6499800198 
0.8666666667     1.6970794127 
0.8733333333     1.7477250885 
0.8800000000     1.8024044683 
0.8866666667     1.8616962948 
0.8933333333     1.9262955933 
0.9000000000     1.9970528994 
0.9066666667     2.0750389595 
0.9133333333     2.1616527879 
0.9200000000     2.2588004408 
0.9266666667     2.3691718128 
0.9333333333     2.4966269584 
0.9400000000     2.6467079499 
0.9466666667     2.8270732213 
0.9533333333     3.0473953755 
0.9600000000     3.3200963642 
0.9666666667     3.6629494140 
0.9733333333     4.1140284559 
0.9800000000     4.8689339930 
0.9866666667     6.7535468077 
0.9933333333     10.4992448681 
