#        q              gamma(q)       

0.0000000000     0.0010222427 
0.0040000000     0.0072506827 
0.0080000000     0.0130740946 
0.0120000000     0.0187144206 
0.0160000000     0.0242321814 
0.0200000000     0.0296707728 
0.0240000000     0.0350592480 
0.0280000000     0.0404168603 
0.0320000000     0.0457560304 
0.0360000000     0.0510842617 
0.0400000000     0.0564058654 
0.0440000000     0.0617230407 
0.0480000000     0.0670365598 
0.0520000000     0.0723463160 
0.0560000000     0.0776517571 
0.0600000000     0.0829521141 
0.0640000000     0.0882465171 
0.0680000000     0.0935341583 
0.0720000000     0.0988142889 
0.0760000000     0.1040862898 
0.0800000000     0.1093496444 
0.0840000000     0.1146039624 
0.0880000000     0.1198489554 
0.0920000000     0.1250844163 
0.0960000000     0.1303102257 
0.1000000000     0.1355263220 
0.1040000000     0.1407326970 
0.1080000000     0.1459293826 
0.1120000000     0.1511164437 
0.1160000000     0.1562939639 
0.1200000000     0.1614620518 
0.1240000000     0.1666208310 
0.1280000000     0.1717704323 
0.1320000000     0.1769109997 
0.1360000000     0.1820426843 
0.1400000000     0.1871656437 
0.1440000000     0.1922800444 
0.1480000000     0.1973860568 
0.1520000000     0.2024838585 
0.1560000000     0.2075736338 
0.1600000000     0.2126555747 
0.1640000000     0.2177298784 
0.1680000000     0.2227967506 
0.1720000000     0.2278564039 
0.1760000000     0.2329090573 
0.1800000000     0.2379549390 
0.1840000000     0.2429942823 
0.1880000000     0.2480273297 
0.1920000000     0.2530543296 
0.1960000000     0.2580755383 
0.2000000000     0.2630912183 
0.2040000000     0.2681016394 
0.2080000000     0.2731070776 
0.2120000000     0.2781078161 
0.2160000000     0.2831041439 
0.2200000000     0.2880963561 
0.2240000000     0.2930847537 
0.2280000000     0.2980696438 
0.2320000000     0.3030513389 
0.2360000000     0.3080301570 
0.2400000000     0.3130064214 
0.2440000000     0.3179804611 
0.2480000000     0.3229526100 
0.2520000000     0.3279232076 
0.2560000000     0.3328925978 
0.2600000000     0.3378611300 
0.2640000000     0.3428291591 
0.2680000000     0.3477970441 
0.2720000000     0.3527651497 
0.2760000000     0.3577338451 
0.2800000000     0.3627035050 
0.2840000000     0.3676745092 
0.2880000000     0.3726472421 
0.2920000000     0.3776220942 
0.2960000000     0.3825994601 
0.3000000000     0.3875797407 
0.3040000000     0.3925633418 
0.3080000000     0.3975506745 
0.3120000000     0.4025421560 
0.3160000000     0.4075382088 
0.3200000000     0.4125392612 
0.3240000000     0.4175457472 
0.3280000000     0.4225581074 
0.3320000000     0.4275767878 
0.3360000000     0.4326022411 
0.3400000000     0.4376349264 
0.3440000000     0.4426753094 
0.3480000000     0.4477238622 
0.3520000000     0.4527810643 
0.3560000000     0.4578474017 
0.3600000000     0.4629233684 
0.3640000000     0.4680094652 
0.3680000000     0.4731062011 
0.3720000000     0.4782140925 
0.3760000000     0.4833336644 
0.3800000000     0.4884654498 
0.3840000000     0.4936099906 
0.3880000000     0.4987678372 
