#
# maxiter = 16000, nq = 50
# xmax = 8.000, nvx = [300, 400, 500]
#
# F =  0.76318035, E =  0.71813429
#
#        q                mu(q)
#
  0.0000000000          0.0207544228
  0.0200000000          0.0218704859
  0.0400000000          0.0239320091
  0.0600000000          0.0256753457
  0.0800000000          0.0265742359
  0.1000000000          0.0266852617
  0.1200000000          0.0263351259
  0.1400000000          0.0258435364
  0.1600000000          0.0254069264
  0.1800000000          0.0251009923
  0.2000000000          0.0249251228
  0.2200000000          0.0248457490
  0.2400000000          0.0248256358
  0.2600000000          0.0248388767
  0.2800000000          0.0248750170
  0.3000000000          0.0249365050
  0.3200000000          0.0250333692
  0.3400000000          0.0251780003
  0.3600000000          0.0253815734
  0.3800000000          0.0256524776
  0.4000000000          0.0259964052
  0.4200000000          0.0264174837
  0.4400000000          0.0269198571
  0.4600000000          0.0275092671
  0.4800000000          0.0281943549
  0.5000000000          0.0289875331
  0.5200000000          0.0299053614
  0.5400000000          0.0309683988
  0.5600000000          0.0322005459
  0.5800000000          0.0336279874
  0.6000000000          0.0352780853
  0.6200000000          0.0371790321
  0.6400000000          0.0393617826
  0.6600000000          0.0418665530
  0.6800000000          0.0447564827
  0.7000000000          0.0481399163
  0.7200000000          0.0521989864
  0.7400000000          0.0572148291
  0.7600000000          0.0635685994
  0.7800000000          0.0716853022
  0.8000000000          0.0818945417
  0.8200000000          0.0942853089
  0.8400000000          0.1089697884
  0.8600000000          0.1276835192
  0.8800000000          0.1576829443
  0.9000000000          0.2174283695
  0.9200000000          0.3296523024
  0.9400000000          0.4333635468
  0.9600000000          0.4797821057
  0.9800000000          3.9323152090
