#      q          gamma(q)       
#
0.0000000000     0.0010059947 
0.0050000000     0.0093377129 
0.0100000000     0.0165918100 
0.0150000000     0.0235669643 
0.0200000000     0.0303801613 
0.0250000000     0.0371034756 
0.0300000000     0.0437798991 
0.0350000000     0.0504335227 
0.0400000000     0.0570767444 
0.0450000000     0.0637148769 
0.0500000000     0.0703492140 
0.0550000000     0.0769789085 
0.0600000000     0.0836021784 
0.0650000000     0.0902169919 
0.0700000000     0.0968214434 
0.0750000000     0.1034139136 
0.0800000000     0.1099931386 
0.0850000000     0.1165582065 
0.0900000000     0.1231085016 
0.0950000000     0.1296436611 
0.1000000000     0.1361635244 
0.1050000000     0.1426680749 
0.1100000000     0.1491574060 
0.1150000000     0.1556316850 
0.1200000000     0.1620911361 
0.1250000000     0.1685360183 
0.1300000000     0.1749666163 
0.1350000000     0.1813832328 
0.1400000000     0.1877861846 
0.1450000000     0.1941758023 
0.1500000000     0.2005524292 
0.1550000000     0.2069164221 
0.1600000000     0.2132681528 
0.1650000000     0.2196080078 
0.1700000000     0.2259363903 
0.1750000000     0.2322537206 
0.1800000000     0.2385604369 
0.1850000000     0.2448569949 
0.1900000000     0.2511438684 
0.1950000000     0.2574215488 
0.2000000000     0.2636905448 
0.2050000000     0.2699513826 
0.2100000000     0.2762046044 
0.2150000000     0.2824507678 
0.2200000000     0.2886904463 
0.2250000000     0.2949242281 
0.2300000000     0.3011527153 
0.2350000000     0.3073765241 
0.2400000000     0.3135962841 
0.2450000000     0.3198126376 
0.2500000000     0.3260262399 
0.2550000000     0.3322377588 
0.2600000000     0.3384478745 
0.2650000000     0.3446572799 
0.2700000000     0.3508666794 
0.2750000000     0.3570767900 
0.2800000000     0.3632883411 
0.2850000000     0.3695020745 
0.2900000000     0.3757187442 
0.2950000000     0.3819391172 
0.3000000000     0.3881639732 
0.3050000000     0.3943941051 
0.3100000000     0.4006303190 
0.3150000000     0.4068734349 
0.3200000000     0.4131242866 
0.3250000000     0.4193837223 
0.3300000000     0.4256526047 
0.3350000000     0.4319318121 
0.3400000000     0.4382222375 
0.3450000000     0.4445247909 
0.3500000000     0.4508403980 
0.3550000000     0.4571700017 
0.3600000000     0.4635145630 
0.3650000000     0.4698750604 
0.3700000000     0.4762524917 
0.3750000000     0.4826478739 
0.3800000000     0.4890622442 
0.3850000000     0.4954966610 
0.3900000000     0.5019522043 
0.3950000000     0.5084299764 
0.4000000000     0.5149311033 
0.4050000000     0.5214567352 
0.4100000000     0.5280080480 
0.4150000000     0.5345862431 
0.4200000000     0.5411925503 
0.4250000000     0.5478282270 
0.4300000000     0.5544945612 
0.4350000000     0.5611928710 
0.4400000000     0.5679245076 
0.4450000000     0.5746908553 
0.4500000000     0.5814933336 
0.4550000000     0.5883333989 
0.4600000000     0.5952125455 
0.4650000000     0.6021323079 
0.4700000000     0.6090942623 
0.4750000000     0.6161000284 
0.4800000000     0.6231512714 
0.4850000000     0.6302497045 
0.4900000000     0.6373970904 
0.4950000000     0.6445952442 
0.5000000000     0.6518460355 
0.5050000000     0.6591513912 
0.5100000000     0.6665132980 
0.5150000000     0.6739338057 
0.5200000000     0.6814150297 
0.5250000000     0.6889591545 
0.5300000000     0.6965684372 
0.5350000000     0.7042452110 
0.5400000000     0.7119918890 
0.5450000000     0.7198109681 
0.5500000000     0.7277050339 
0.5550000000     0.7356767646 
0.5600000000     0.7437289360 
0.5650000000     0.7518644271 
0.5700000000     0.7600862250 
0.5750000000     0.7683974310 
0.5800000000     0.7768012670 
0.5850000000     0.7853010819 
0.5900000000     0.7939003585 
0.5950000000     0.8026027216 
0.6000000000     0.8114119458 
0.6050000000     0.8203319639 
0.6100000000     0.8293668765 
0.6150000000     0.8385209621 
0.6200000000     0.8477986869 
0.6250000000     0.8572047176 
0.6300000000     0.8667439322 
0.6350000000     0.8764214346 
0.6400000000     0.8862425677 
0.6450000000     0.8962129294 
0.6500000000     0.9063383894 
0.6550000000     0.9166251063 
0.6600000000     0.9270795477 
0.6650000000     0.9377085105 
0.6700000000     0.9485191442 
0.6750000000     0.9595189748 
0.6800000000     0.9707159321 
0.6850000000     0.9821183778 
0.6900000000     0.9937351380 
0.6950000000     1.0055755361 
0.7000000000     1.0176494313 
0.7050000000     1.0299672584 
0.7100000000     1.0425400724 
0.7150000000     1.0553795975 
0.7200000000     1.0684982795 
0.7250000000     1.0819093452 
0.7300000000     1.0956268665 
0.7350000000     1.1096658316 
0.7400000000     1.1240422237 
0.7450000000     1.1387731091 
0.7500000000     1.1538767345 
0.7550000000     1.1693726366 
0.7600000000     1.1852817643 
0.7650000000     1.2016266175 
0.7700000000     1.2184314026 
0.7750000000     1.2357222091 
0.7800000000     1.2535272109 
0.7850000000     1.2718768937 
0.7900000000     1.2908043144 
0.7950000000     1.3103453975 
0.8000000000     1.3305392704 
0.8050000000     1.3514286466 
0.8100000000     1.3730602589 
0.8150000000     1.3954853518 
0.8200000000     1.4187602361 
0.8250000000     1.4429469161 
0.8300000000     1.4681137958 
0.8350000000     1.4943364755 
0.8400000000     1.5216986538 
0.8450000000     1.5502931565 
0.8500000000     1.5802231265 
0.8550000000     1.6116034268 
0.8600000000     1.6445623355 
0.8650000000     1.6792436559 
0.8700000000     1.7158094240 
0.8750000000     1.7544434758 
0.8800000000     1.7953562502 
0.8850000000     1.8387913343 
0.8900000000     1.8850344214 
0.8950000000     1.9344255056 
0.9000000000     1.9873752667 
0.9050000000     2.0443866078 
0.9100000000     2.1060820809 
0.9150000000     2.1732372894 
